title,authors,venue,year,date,type,citations,paper_link
"A study on efficient annotation method for single annotations","Risa Iwai|Ryotaro Shimizu|Haruka Yamashita",CIE 2024,2024,Dec 2024,conference,0,
"Mastering Task Arithmetic: tauJp as a Key Indicator for Weight Disentanglement","Kotaro Yoshida|Yuji Naraki|Takafumi Horie|Ryosuke Yamaki|Ryotaro Shimizu|Yuki Saito|Julian McAuley|Hiroki Naganuma",NeurIPS 2024 Workshop,2024,Dec 2024,workshop,0,
"Revisiting Static Word Embeddings as Efficient Sentence Encoders","Takashi Wada|Yuki Hirakawa|Ryotaro Shimizu|Takahiro Kawashima|Yuki Saito",COLING,2025,Jan 2025,conference,0,
"文の埋め込みに効果的な静的単語ベクトルの獲得","和田崇史|平川優伎|清水良太郎|川島貴大|斎藤侑輝",NLP 2025,2025,Mar 2025,domestic,0,
"Eコマース検索結果におけるクエリに応じたサムネイル最適化に関する実験的研究","伊澤遼平|吉本一平|広渡朱莉|清水良太郎|斎藤侑輝|和田崇史",JSAI 2025,2025,May 2025,domestic,0,
"Task Analogiesにおけるモデル線形化の有効性の検証","吉田晃太朗|堀江孝文|槙木悠士|清水良太郎|山木良輔|長沼大樹",JSAI 2025,2025,May 2025,domestic,0,
"画像言語参照プロンプトを適用したSegment Anything ModelによるFew-shotセグメンテーションモデル","櫻井洸介|清水良太郎|後藤正幸",JSAI 2025,2025,May 2025,domestic,0,
"深度情報を用いた画像識別における解釈性向上に関する一考察","更家嘉介|清水良太郎|後藤正幸",JSAI 2025,2025,May 2025,domestic,0,
"増分クラスに対する動的対応と柔軟性を有する継続学習モデルの提案","堀田南|小笠原のりこ|宮島健悟|清水良太郎|後藤正幸",JSAI 2025,2025,May 2025,domestic,0,
"置換不変ニューラルネットワークによる集合データマッチングのための全身画像を用いた事前学習","秦淇策|清水良太郎|平川優伎|シモセラ・エドガー",MIRU 2025,2025,Jul 2025,domestic,0,
"Masked Language Prompting for Data Augmentation in Few-shot Style Recognition","Yuki Hirakawa|Ryotaro Shimizu",MIRU 2025,2025,Jul 2025,domestic,0,
